#
#-- optimal_damping GaAsSiO2H n_repeat=10 -- mixing=SimpleMixing(1.0)
#

Starting Arnoldi (now = 2020-07-27T22:28:25.293 ...

#--- 1 ---#
idcs      evals   residnorms   |P(X)|
  1    0.999333   0.0599173  3.98008e-16

#--- 2 ---#
idcs      evals   residnorms   |P(X)|
  1    0.999015   0.0536608  3.98465e-16
  2     5.40703     3.94776  3.71242e-16

#--- 3 ---#
idcs      evals   residnorms   |P(X)|
  1    0.998657   0.0278691  3.97768e-16
  2     3.16335      1.4545  3.80091e-16
  3     11.5591     2.34143  3.61105e-16

#--- 4 ---#
idcs      evals   residnorms   |P(X)|
  1     0.99845   0.0227975  3.97911e-16
  2     2.30642      1.2398  3.86409e-16
  3     4.80594     1.61782  3.58204e-16
  4     12.5506    0.616291  3.68761e-16

#--- 5 ---#
idcs      evals   residnorms   |P(X)|
  1    0.998268   0.0202747  3.98592e-16
  2     1.81084    0.975585  3.80341e-16
  3     3.51827     1.20771  3.70207e-16
  4     6.52842     1.40965  3.57631e-16
  5     12.6369    0.170161  3.5442e-16

#--- 6 ---#
idcs      evals   residnorms   |P(X)|
  1    0.998136   0.0181782  3.97931e-16
  2     1.49627    0.672568  3.88051e-16
  3      2.9971    0.973829  3.80588e-16
  4     4.88051     1.29036  3.68562e-16
  5     7.48645     1.10763  3.53874e-16
  6     12.6402   0.0475098  3.68103e-16

#--- 7 ---#
idcs      evals   residnorms   |P(X)|
  1    0.998035    0.016418  3.98409e-16
  2      1.3264    0.483187  3.86278e-16
  3     2.52783     0.83857  3.82307e-16
  4     3.84677      0.9385  3.67589e-16
  5     5.97726    0.986928  3.51245e-16
  6     8.00954    0.739466  3.66632e-16
  7     12.6398   0.0118295  3.74163e-16

#--- 8 ---#
idcs      evals   residnorms   |P(X)|
  1    0.997856   0.0298187  3.98735e-16
  2     1.18891    0.608619  3.85035e-16
  3     2.13939     1.20634  3.78026e-16
  4     3.10873     1.22782  3.79652e-16
