#
#-- optimal_damping SiO2 n_repeat=39 -- mixing=KerkerMixing(1.0, 1.0)
#

Starting Arnoldi (now = 2020-07-26T14:22:33.166 ...

#--- 1 ---#
idcs      evals   residnorms   |P(X)|
  1     0.98551   0.0534028  4.47001e-16

#--- 2 ---#
idcs      evals   residnorms   |P(X)|
  1    0.719826    0.678257  4.59199e-16
  2    0.988612    0.133882  4.47264e-16

#--- 3 ---#
idcs      evals   residnorms   |P(X)|
  1    0.131662    0.316375  4.60868e-16
  2    0.985311   0.0331892  4.48173e-16
  3     1.68947    0.414822  4.56337e-16

#--- 4 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0652531    0.106969  4.67522e-16
  2    0.810608    0.234251  4.5219e-16
  3    0.989074   0.0369561  4.47351e-16
  4     1.93498     0.11897  4.52929e-16

#--- 5 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0518727   0.0808725  4.67963e-16
  2    0.575284    0.370214  4.6974e-16
  3    0.980607     0.13292  4.46494e-16
  4     1.04395    0.336878  4.46347e-16
  5      1.9396   0.0555862  4.57708e-16

#--- 6 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0313596   0.0609764  4.63859e-16
  2    0.370323    0.277134  4.60479e-16
  3    0.858686    0.221882  4.51159e-16
  4    0.989746   0.0440885  4.49162e-16
  5     1.49228    0.424572  4.5202e-16
  6     1.94127   0.0489792  4.54749e-16

#--- 7 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0303831   0.0611638  4.70989e-16
  2     0.19511    0.200211  4.55429e-16
  3    0.685168    0.215985  4.61518e-16
  4    0.981148   0.0875468  4.47177e-16
  5     1.03189    0.193809  4.43955e-16
  6     1.79757    0.225353  4.56336e-16
  7     1.95274   0.0579644  4.59194e-16

#--- 8 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0192288    0.045511  4.70666e-16
  2     0.13647    0.117632  4.57728e-16
  3    0.516047    0.198803  4.69585e-16
  4    0.843185    0.163676  4.52111e-16
  5    0.988477   0.0302748  4.48775e-16
  6     1.17539    0.184378  4.45246e-16
  7     1.84518    0.080754  4.58718e-16
  8     1.95631   0.0268688  4.56551e-16

#--- 9 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0146074   0.0466248  4.76644e-16
  2    0.113134    0.112302  4.59036e-16
  3    0.421605     0.27935  4.61953e-16
  4    0.721761    0.314628  4.61034e-16
  5    0.957635    0.276603  4.47133e-16
  6    0.995692    0.147746  4.48516e-16
  7     1.27066    0.273888  4.47768e-16
  8     1.85406   0.0515532  4.56968e-16
  9     1.95507   0.0163398  4.54391e-16

#--- 10 ---#
idcs      evals   residnorms   |P(X)|
  1   0.0144601   0.0337878  4.60898e-16
  2   0.0865077   0.0732348  4.67273e-16
  3    0.307657    0.159505  4.59133e-16
  4    0.610528    0.146512  4.65758e-16
  5    0.874541    0.112651  4.48553e-16
  6    0.989272   0.0218027  4.48547e-16
  7     1.18761    0.123158  4.46692e-16
  8     1.76888    0.323025  4.57994e-16
  9     1.87955    0.173109  4.589e-16
 10     1.95646   0.0387549  4.59135e-16

#--- 11 ---#
idcs      evals   residnorms   |P(X)|
